Company,Slogan,Description,Shortened_Description
Costa Coffee,For coffee lovers.,"Costa Limited, trading as Costa Coffee, is a coffeehouse chain with headquarters in Loudwater, Buckinghamshire, England, that operates in the United Kingdom and 37 other countries.",Costa Limited trading Costa Coffee coffeehouse chain headquarters Loudwater Buckinghamshire England United
Evian,Evian. Live young.,"Evian is a French brand that bottles mineral water from several sources near Évian-les-Bains, on the south shore of Lake Geneva.",Evian French brand mineral water several sources Évian les Bains south shore
Dasani,Designed to make a difference.,"Dasani is a brand of bottled water created by the Coca-Cola Company, launched in 1999. It is one of many brands of Coca-Cola bottled water sold around the world. The product is filtered and bottled.",Dasani brand bottled water Coca Cola Company many brands Coca Cola bottled
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
TÃ­o Pepe,Good food tastes better after a glass of Tio Pepe,No description available,description available
Tetley's Brewery,Don't Do Things By Halves.,"Tetley's Brewery was an English regional brewery founded in 1822 by Joshua Tetley in Hunslet, now a suburb of Leeds, West Yorkshire. The beer was originally produced at the Leeds Brewery, which was later renamed the Leeds Tetley Brewery to avoid confusion with a microbrewery of the same name.",Tetley Brewery English regional brewery Joshua Tetley Hunslet suburb Leeds West Yorkshire
Batemans Brewery,Good Honest Ales,"Batemans Brewery (George Bateman & Son Ltd) is an English brewery based at Salem Bridge Brewery in Wainfleet, Lincolnshire, and founded in 1874. The company owns 69 public houses, with 23 situated in Boston alone. The brewery focuses on cask conditioned ales, their best known being XB and XXXB. Their slogan is ""Good Honest Ales"".",Batemans Brewery George Bateman Son Ltd English brewery Salem Bridge Brewery Wainfleet
Jones Soda,Run with the little guyâ¦ create some change.,"Jones Soda Co. is a beverage company based in Seattle, Washington, United States. It bottles and distributes soft drinks, non-carbonated beverages, energy drinks, and candy.",Jones Soda Co. beverage company Seattle Washington United States soft drinks non
Grapette,Thirsty or Not.,"Grapette is a grape-flavored soft drink that was first produced and marketed in 1939 by Benjamin ""Tyndle"" Fooks. Grapette is now produced by Grapette International, and is marketed in the United States by Walmart as part of its Sam's Choice line of soft drinks.",Grapette grape soft drink Benjamin Tyndle Fooks Grapette Grapette International United States
Jif (lemon juice),juice in a jiffy.,"Jif is a brand of natural strength lemon juice prepared using lemon juice concentrate and water, whereby the concentrate is reconstituted using water. After reconstitution, it is packaged and marketed. It is sold in the United Kingdom and Ireland by Unilever. Jif is used as a flavourant and ingredient in dishes, and as a condiment. Two tablespoons is around the equivalent of the juice of one lemon. The product has a shelf life of six months.",Jif brand natural strength lemon juice lemon juice concentrate water concentrate water
Royal Tru,Bring out the crazy!,"Royal Tru is a carbonated fruit-flavored soft drink brand owned by The Coca-Cola Company that is exclusive to the Philippines. The brand was introduced in 1922 by the original San Miguel Brewery. After being acquired by Coca-Cola's Philippine unit in 2007, the brand has become the Philippine counterpart of Coca-Cola's Fanta brand.",Royal Tru fruit soft drink brand Coca Cola Company exclusive Philippines brand
Oronamin,Genki hatsuratsu.,"Oronamin C Drink , produced by Otsuka Chemical Holdings Co., Ltd., is a carbonated beverage available in Japan. It is commonly called Oronamin C or Oronamin. Its name is similar to the Takeda Pharmaceutical Co. product ""Arinamin"" and its name comes from Otsuka's own Oronine H Ointment and one of its ingredients, vitamin C. Oronamin C was named after the Oronine H Ointment in hopes that it would prove to be equally successful.",Oronamin C Drink Otsuka Chemical Holdings Co. Ltd. beverage available Japan Oronamin
Culligan,Hey Culligan!,"Culligan International is a United States based global water treatment company with a network of dealers and direct operations in 90 countries with 1,000 dealers; over 600 in North America alone, and more than 14,000 employees.",Culligan International United States global water treatment company network dealers direct operations
Belvedere Vodka,Belvedere Always Goes Down Smoothly.,"Belvedere Vodka is a brand of Polish rye vodka produced and distributed by LVMH. It is named after Belweder, the Polish presidential palace in Warsaw, whose illustration appears on its bottles. It is produced in the town of Żyrardów in Poland.",Belvedere Vodka brand Polish rye vodka LVMH Belweder Polish presidential palace Warsaw
Wodka Gorbatschow,The Pure Spirit of Vodka.,"Wodka Gorbatschow is a German vodka brand. It has been produced in Berlin since 1921. Since 1960, it is owned by the Söhnlein Rheingold AG, a part of the Henkell & Co. Sektkellerei KG, which is owned by Dr. Oetker since 1996.",Wodka Gorbatschow German vodka brand Berlin Söhnlein Rheingold AG part Henkell Co.
White Horse (whisky),you can take a white horse anywhere.,"White Horse Scotch Whisky is a blended Scotch whisky produced by Diageo in Scotland. It was first produced by James Logan Mackie in Edinburgh in 1861. In 2006, White Horse won blended whisky of the year in Murray's 2007 Whisky Bible.",White Horse Scotch Whisky Scotch whisky Diageo Scotland James Logan Mackie Edinburgh
Grand Old Parr,Make friends with Old Parr.,"Grand Old Parr is a blended Scotch whisky produced by Diageo in Scotland. Is named after the Old Tom Parr, the reputed oldest man in England. Launched in 1909, it is found in export markets such as Japan, Mexico, South America and the United States, and is no longer distributed in the United Kingdom.",Grand Old Parr Scotch whisky Diageo Scotland Old Tom Parr reputed oldest
Clan Gregor,Royal is my race.,"Clan Gregor, also known as Clan MacGregor, is a Highland Scottish clan that claims an origin in the early 9th century. The clan's most famous member is Rob Roy MacGregor of the late 17th and early 18th centuries. The clan is also known to have been among the first families of Scotland to begin playing the bagpipes in the early 17th century.",Clan Gregor Clan MacGregor Highland Scottish clan origin early 9th century clan
Finlandia (vodka),Vodka from a Purer Place.,"Finlandia is a brand of vodka produced in Finland. It is made from barley distilled into a neutral spirit in the village of Koskenkorva in Ilmajoki by Finland's Altia Corporation. The distilled alcohol is then transported to a production facility in the village of Rajamäki in Nurmijärvi, about 45 kilometers north of Helsinki, where the spirit is blended with glacial water, flavored, and bottled.",Finlandia brand vodka Finland barley neutral spirit village Koskenkorva Ilmajoki Finland Altia
Colgate,"Stronger, healthier gums.",Colgate may refer to:,Colgate
Fanta,"Drink Fanta, stay Bamboocha.","Fanta is an American-owned brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are over 200 flavors worldwide. Fanta originated in Germany as a Coca-Cola alternative in 1941 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients. Fanta soon dominated the German market with three million cases sold in 1943. The current formulation of Fanta, with orange flavor, was developed in Italy in 1955.",Fanta American brand fruit soft drinks Coca Cola Deutschland leadership German businessman
Pizza Hut,Make it great.,"Pizza Hut, LLC is an American multinational pizza restaurant chain and international franchise founded in 1958 in Wichita, Kansas, by brothers Dan and Frank Carney. The chain, headquartered in Plano, Texas, operates 19,866 restaurants worldwide as of 2023.",Pizza Hut LLC American multinational pizza restaurant chain international franchise Wichita Kansas
Head & Shoulders,Live head first.,Head & Shoulders (H&S) is an American brand of anti-dandruff and non-dandruff shampoo produced by parent company Procter & Gamble.,Head Shoulders H&S American brand anti - dandruff non - dandruff shampoo
Domino's Pizza,Pizza deliver experts.,"Domino's Pizza, Inc., commonly referred to as Domino's, is an American multinational pizza restaurant chain founded in 1960 and led by CEO Russell Weiner. The corporation is Delaware-domiciled and headquartered at the Domino's Farms office park in Ann Arbor Township, near Ann Arbor, Michigan. As of 2018, Domino's had approximately 15,000 stores, with 5,649 in the United States, 1,500 in India, and 1,249 in the United Kingdom. Domino's has stores in over 83 countries and 5,701 cities worldwide.",Domino Pizza Inc. Domino American multinational pizza restaurant chain CEO Russell Weiner
Ben & Jerry's,"Peace, love & ice cream.","Ben & Jerry's Homemade Holdings Inc., trading and commonly known as Ben & Jerry's, is an American company that manufactures ice cream, frozen yogurt, and sorbet. Founded in 1978 in Burlington, Vermont, the company went from a single ice cream parlor to a multinational brand over the course of a few decades. The company was sold in 2000 to the British multinational conglomerate Unilever but operates as an independent subsidiary. Its present-day headquarters is in South Burlington, Vermont, with its factory in Waterbury, Vermont.",Ben Jerry Homemade Holdings Inc. trading Ben Jerry American company ice cream
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
Milo,MILO Everyday!,Milo may refer to:,Milo
Starbucks,Customize Your Cup.,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It was founded in 1971 by Jerry Baldwin, Zev Siegl, and Gordon Bowker at Seattle's Pike Place Market initially as a coffee bean wholesaler. Starbucks was converted into a coffee shop serving espresso-based drinks under the ownership of Howard Schultz, who was chief executive officer from 1986 to 2000 and led the aggressive expansion of the franchise across the West Coast of the United States.",Starbucks Corporation American multinational chain coffeehouses roastery reserves Seattle Washington Jerry Baldwin
Audi,Vorsprung durch Technik.,"Audi AG is a German automotive manufacturer of luxury vehicles headquartered in Ingolstadt, Bavaria, Germany. A subsidiary of the Volkswagen Group, Audi produces vehicles in nine production facilities worldwide.",Audi AG German automotive manufacturer luxury vehicles Ingolstadt Bavaria Germany subsidiary Volkswagen
NIVEA,More evolved skincare.,"Nivea is a German personal care brand that specializes in skin and body care. It is owned by the Hamburg-based company Beiersdorf Global AG, who also makes the Eucerin brand. Nivea comes from the Latin adjective niveus meaning ""snow-white"".",Nivea German personal care brand skin body care Hamburg company Beiersdorf Global
Snickers,Get some nuts!,"Snickers is a chocolate bar consisting of nougat topped with caramel and peanuts, all encased in milk chocolate. The bars are made by the American company Mars Inc. The annual global sales of Snickers is over $380 million, and it is widely considered the bestselling candy bar in the world.",Snickers chocolate bar nougat caramel peanuts milk chocolate bars American company Mars
Nescafe,It all starts with a NescafÃ©.,"Nescafé is a brand of instant coffee sold by the multinational food and drink corporation Nestlé. It comes in many different forms. The name is a portmanteau of the words ""Nestlé"" and ""café"". Nestlé first introduced their flagship coffee brand in Switzerland on April 1, 1938.",Nescafé brand instant coffee multinational food corporation Nestlé many different forms name
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,No description available,description available
Levi's Jeans,Original jeans. original people.,"Levi Strauss & Co. is an American clothing company known worldwide for its Levi's brand of denim jeans. It was founded in May 1853 when German-Jewish immigrant Levi Strauss moved from Buttenheim, Bavaria, to San Francisco, California, to open a West Coast branch of his brothers' New York dry goods business. Although the corporation is registered in Delaware, the company's corporate headquarters is located in Levi's Plaza in San Francisco.",Levi Strauss Co. American clothing company Levi brand denim jeans May German
Lipton,Be more tea.,"Lipton is a brand named after its founder, Sir Tom Lipton, who started an eponymous grocery retail business in the United Kingdom in 1871. The brand was used for various consumer goods sold in Lipton stores, including tea from 1890 for which the brand is now best known.",Lipton brand founder Sir Tom Lipton eponymous grocery retail business United Kingdom
Dove (toiletries),The secret of beautiful hair.,"Dove is a personal care brand owned by the British consumer goods company Unilever. Dove products are sold in more than 150 countries and are offered for women, men, babies and children.",Dove personal care brand British consumer goods company Unilever Dove products more
Pampers,Discover your babyâs world.,"Pampers is an American brand for babies and toddlers products marketed by Procter & Gamble. This includes diapers, wipes etc.",Pampers American brand babies toddlers products Procter Gamble diapers wipes
Coca-Cola,Taste The Feeling.,"Coca-Cola, or Coke, is a cola soft drink manufactured by the Coca-Cola Company. In 2013, Coke products were sold in over 200 countries and territories worldwide, with consumers drinking more than 1.8 billion company beverage servings each day. Coca-Cola ranked No. 94 in the 2024 Fortune 500 list of the largest United States corporations by revenue. Based on Interbrand's ""best global brand"" study of 2023, Coca-Cola was the world's sixth most valuable brand.",Coca Cola Coke cola soft drink Coca Cola Company Coke products countries
Beam Suntory,"For relaxing times, make it Suntory time.","Suntory Global Spirits Inc., formerly known as Beam Suntory, Inc., is an American beverage company that is a subsidiary of Suntory Holdings, a Japanese multinational beverage conglomerate. The company produces alcoholic beverages.",Suntory Global Spirits Inc. Beam Suntory Inc. American beverage company subsidiary Suntory
Live+,Sharpen Up!,"
Live+ is an energy drink marketed to New Zealanders by Monster Beverage Corporation. It was originally known as Lift+ or Lift Plus and created and produced by Coca-Cola Amatil based on the soft drink Lift.",Live+ energy drink New Zealanders Monster Beverage Corporation Lift+ Lift Coca Cola
Pussy (energy drink),100% natural.,"Pussy is a carbonated energy drink produced by Pussy Drinks Ltd in the UK. The drink and brand were created by Jonnie Shearer around Christmas 2004. In April 2013, part of the advertising campaign for Pussy was banned in the UK by the Advertising Standards Authority for being sexually explicit.",Pussy carbonated energy drink Pussy Drinks Ltd UK drink brand Jonnie Shearer
Tango (drink),The Whole Fruit.,"Tango is a carbonated soft drink originating in the United Kingdom, primarily sold in the UK and Ireland. It was first launched by Corona in 1950. Corona was purchased by the Beecham Group in 1958, and Corona Soft Drinks by Britvic in 1987.",Tango carbonated soft drink United Kingdom UK Ireland Corona Corona Beecham Group
Tizer,The Great British Pop.,"Tizer is a red-coloured, citrus-flavoured soft drink bottled and sold in the UK. The name originally comes from the original name, ""Pickup's Appetiser"". It was launched in 1924 by Fred and Tom Pickup of Birtle, Bury when it was known as ""Pickup's Appetiser"".",Tizer red citrus soft drink UK name original name Pickup Appetiser Fred
Dr. Enuf,Enuf is Enough!,"Dr. Enuf is an American brand of soft drink bottled by Tri-City Beverage in Johnson City, Tennessee. It is a lemon-lime flavored drink Dr. Enuf is fortified with several water-soluble vitamins. Its marketing slogan is ""Enuf is Enough!""",Dr. Enuf American brand soft drink Tri - City Beverage Johnson City
ToniCol,the different soft drink.,"ToniCol is a naturally flavoured vanilla soft drink manufactured in Mexico. It is most popular in the state of Sinaloa, Mexico, especially in the city of Mazatlán, though it can be found typically in the western states, such as Jalisco and Baja California.",ToniCol vanilla soft drink Mexico popular state Sinaloa Mexico city Mazatlán western
Campa Cola,The Great Indian Taste.,Campa Cola is a soft drink brand in India. It was a market leader in the Indian soft drink market in the 1970s and 1980s in most regions of India until the advent of the foreign players Pepsi and Coca-Cola after the liberalisation policy of the P. V. Narasimha Rao government in 1991.,Campa Cola soft drink brand India market leader Indian soft drink market
Mezzo Mix,Cola Kisses orange.,"Mezzo Mix is a product of The Coca-Cola Company, first introduced in West Germany in 1973. It is a mixture of orange soda and cola, a beverage popular in German-speaking countries, commonly known there as spezi, the generic trademark of the first brand of that type of soda.",Mezzo Mix product Coca Cola Company West Germany mixture orange soda cola
Bluna,How Bluna are you?,"Bluna is an orange soft drink produced by the German Mineralbrunnen Überkingen-Teinach AG, the same company, which produces the better-known Afri-Cola, since 1994.",Bluna orange soft drink German Mineralbrunnen Überkingen Teinach AG same company Afri
Bionade,The official beverage of a better world.,"Bionade [ˌbi.(j)oˈnaːdə] is a German range of non-alcoholic, organic fermented and carbonated beverages. It is manufactured in the Bavarian town of Ostheim vor der Rhön by the Peter beer brewery. Sales started in 1995 and Bionade is now available in most European countries. Until 2018 Bionade GmbH was a subsidiary of Radeberger, a group of breweries which is a division of Dr. Oetker. Now Bionade is part of the Hassia Group.",Bionade German range non - alcoholic organic carbonated beverages Bavarian town Ostheim
Oasis (drink),Be Fruit.,"Oasis is a non-carbonated bottled soft drink, a product of Orangina Schweppes. In Great Britain, it is manufactured by the Coca-Cola EuroPacific Partners in conjunction with Coca-Cola Company subsidiary Atlantic Industries and in Northern Ireland and the Republic of Ireland it is distributed by Coca-Cola HBC Ireland and Northern Ireland. It originated in France by Volvic in 1966 and was initially distributed under the name 'Pulse', until flagging sales led to a rebrand and its current name 'Oasis' being introduced. The drink is described as a ""fruit juice drink - with sugar and sweeteners"". In May 2013, Oasis was imported to stores and supermarkets around the Ivory Coast, and by the end of 2013, Oasis was imported to stores and supermarkets around Madagascar.",Oasis non - carbonated bottled soft drink product Orangina Schweppes Great Britain
Slice (drink),"It's orange, only twisted.",Slice was a line of fruit-flavored soft drinks originally manufactured by PepsiCo and introduced in 1984 but discontinued by PepsiCo in North America in the late 2000s.,Slice line fruit soft drinks PepsiCo PepsiCo North America late 2000s
Rondo (soft drink),The Thirst Crusher!,"Rondo was a citrus-flavored soft drink available in limited U.S. markets in the late 1970s and early 1980s, one which was ""blended from fine essences"", and ""lightly carbonated"". It is mostly famous for its slogan - ""Rondo---The Thirst Crusher"" - as well as its commercials, featuring people crushing the cans in various ways. The cans featured bright yellow packaging for regular Rondo and green packaging for Diet Rondo. It was introduced in 1978 by Cadbury-Schweppes.",Rondo citrus soft drink available limited U.S. markets late 1970s early fine
OK Soda,Everything is going to be OK.,"OK Soda is a discontinued soft drink created in 1993 that courted the American Generation X demographic with unusual advertising tactics, including neo-noir design, chain letters and deliberately negative publicity. After the soda did not sell well in select test markets, it was officially declared out of production in 1995 before reaching nationwide distribution. The drink's slogan was ""Things are going to be OK.""",Soda discontinued soft drink American Generation X demographic unusual advertising tactics neo
Jolt Cola,"All the sugar, twice the caffeine!","Jolt Cola is a carbonated soft drink originally produced by The Jolt Company, Inc., later known as Wet Planet Beverages. The cola drink was created in 1985 by C. J. Rapp as a highly caffeinated beverage. It was targeted towards students and young professionals, stressing its use as a stimulant in a similar manner as energy drinks. Its original slogan read ""All the sugar and twice the caffeine!""",Jolt Cola carbonated soft drink Jolt Company Inc. Wet Planet Beverages cola
Crystal Pepsi,You've never seen a taste like this.,Crystal Pepsi is a cola soft drink made by PepsiCo. It was initially released in the United States and Canada from 1992 to 1994. It was briefly sold in the United Kingdom and Australia.,Crystal Pepsi cola soft drink PepsiCo United States Canada United Kingdom Australia
Robinsons (drink),Real Fruit in Every Drop.,"Robinsons is a British fruit drink brand, now owned by Carlsberg Britvic, that has been operating for over 200 years, predominantly offering fruit cordials. The Robinsons range includes Squash, Fruit Shoot, Barley Water and Fruit Creations.",Robinsons British fruit drink brand Carlsberg Britvic years fruit cordials Robinsons range
Yazoo (drink),Milk shaken up.,"Yazoo is a bottled milk-based flavoured drink, produced by FrieslandCampina and sold in Belgium, France, the United Kingdom and Ireland. Over eighty million bottles of Yazoo are sold annually.",Yazoo bottled milk drink FrieslandCampina Belgium France United Kingdom Ireland bottles Yazoo
Bubble Up,"kiss of lemon, kiss of lime.","Bubble Up is a lemon-lime soft drink brand created in 1919 by Sweet Valley Products Co. of Sandusky, Ohio. It is now manufactured by the Dad's Root Beer Company, LLC, and owned by Hedinger Brands, LLC, for the United States, Canada, and Mexico, and by Monarch Beverage Company of Atlanta for international markets.",lemon lime soft drink brand Sweet Valley Products Co. Sandusky Ohio Dad
Colgate,"Stronger, healthier gums.",Colgate may refer to:,Colgate
Fanta,"Drink Fanta, stay Bamboocha.","Fanta is an American-owned brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are over 200 flavors worldwide. Fanta originated in Germany as a Coca-Cola alternative in 1941 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients. Fanta soon dominated the German market with three million cases sold in 1943. The current formulation of Fanta, with orange flavor, was developed in Italy in 1955.",Fanta American brand fruit soft drinks Coca Cola Deutschland leadership German businessman
Pizza Hut,Make it great.,"Pizza Hut, LLC is an American multinational pizza restaurant chain and international franchise founded in 1958 in Wichita, Kansas, by brothers Dan and Frank Carney. The chain, headquartered in Plano, Texas, operates 19,866 restaurants worldwide as of 2023.",Pizza Hut LLC American multinational pizza restaurant chain international franchise Wichita Kansas
Head & Shoulders,Live head first.,Head & Shoulders (H&S) is an American brand of anti-dandruff and non-dandruff shampoo produced by parent company Procter & Gamble.,Head Shoulders H&S American brand anti - dandruff non - dandruff shampoo
Domino's Pizza,Pizza deliver experts.,"Domino's Pizza, Inc., commonly referred to as Domino's, is an American multinational pizza restaurant chain founded in 1960 and led by CEO Russell Weiner. The corporation is Delaware-domiciled and headquartered at the Domino's Farms office park in Ann Arbor Township, near Ann Arbor, Michigan. As of 2018, Domino's had approximately 15,000 stores, with 5,649 in the United States, 1,500 in India, and 1,249 in the United Kingdom. Domino's has stores in over 83 countries and 5,701 cities worldwide.",Domino Pizza Inc. Domino American multinational pizza restaurant chain CEO Russell Weiner
Ben & Jerry's,"Peace, love & ice cream.","Ben & Jerry's Homemade Holdings Inc., trading and commonly known as Ben & Jerry's, is an American company that manufactures ice cream, frozen yogurt, and sorbet. Founded in 1978 in Burlington, Vermont, the company went from a single ice cream parlor to a multinational brand over the course of a few decades. The company was sold in 2000 to the British multinational conglomerate Unilever but operates as an independent subsidiary. Its present-day headquarters is in South Burlington, Vermont, with its factory in Waterbury, Vermont.",Ben Jerry Homemade Holdings Inc. trading Ben Jerry American company ice cream
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
Milo,MILO Everyday!,Milo may refer to:,Milo
Starbucks,Customize Your Cup.,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It was founded in 1971 by Jerry Baldwin, Zev Siegl, and Gordon Bowker at Seattle's Pike Place Market initially as a coffee bean wholesaler. Starbucks was converted into a coffee shop serving espresso-based drinks under the ownership of Howard Schultz, who was chief executive officer from 1986 to 2000 and led the aggressive expansion of the franchise across the West Coast of the United States.",Starbucks Corporation American multinational chain coffeehouses roastery reserves Seattle Washington Jerry Baldwin
Audi,Vorsprung durch Technik.,"Audi AG is a German automotive manufacturer of luxury vehicles headquartered in Ingolstadt, Bavaria, Germany. A subsidiary of the Volkswagen Group, Audi produces vehicles in nine production facilities worldwide.",Audi AG German automotive manufacturer luxury vehicles Ingolstadt Bavaria Germany subsidiary Volkswagen
NIVEA,More evolved skincare.,"Nivea is a German personal care brand that specializes in skin and body care. It is owned by the Hamburg-based company Beiersdorf Global AG, who also makes the Eucerin brand. Nivea comes from the Latin adjective niveus meaning ""snow-white"".",Nivea German personal care brand skin body care Hamburg company Beiersdorf Global
